title,platform,type,date_added,release_year,genres,minutes,seasons
My Boss's Daughter,Netflix,Movie,2021-09-01,2003.0,"['Comedies', 'Romantic Movies']",86,
Mystery Men,Netflix,Movie,2021-09-01,1999.0,"['Action & Adventure', 'Comedies']",121,
Oldsters,Netflix,TV Show,2021-09-01,2019.0,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",,
Once Upon a Time in America,Netflix,Movie,2021-09-01,1984.0,"['Classic Movies', 'Dramas']",229,
Open Season 2,Netflix,Movie,2021-09-01,2008.0,"['Children & Family Movies', 'Comedies']",76,
Osmosis Jones,Netflix,Movie,2021-09-01,2001.0,"['Action & Adventure', 'Children & Family Movies', 'Comedies']",95,
Poseidon,Netflix,Movie,2021-09-01,2006.0,"['Action & Adventure', 'Dramas']",98,
Rhyme & Reason,Netflix,Movie,2021-09-01,1997.0,"['Documentaries', 'Music & Musicals']",89,
Same Kind of Different as Me,both,Movie,2021-09-01,2017.0,"['Dramas', 'Faith & Spirituality']",120,
School of Rock,Netflix,Movie,2021-09-01,2003.0,"['Comedies', 'Music & Musicals']",110,
Snervous Tyler Oakley,Netflix,Movie,2021-09-01,2015.0,"['Documentaries', 'LGBTQ Movies']",83,
Tears of the Sun,Netflix,Movie,2021-09-01,2003.0,"['Action & Adventure', 'Dramas']",121,
The Blue Lagoon,Netflix,Movie,2021-09-01,1980.0,"['Dramas', 'Romantic Movies']",105,
The Golden Child,both,Movie,2021-09-01,1986.0,"['Action & Adventure', 'Comedies']",94,
The Guns of Navarone,Netflix,Movie,2021-09-01,1961.0,"['Action & Adventure', 'Classic Movies']",156,
The Interview,Netflix,Movie,2021-09-01,2014.0,"['Action & Adventure', 'Comedies']",112,
The Nutty Professor,Netflix,Movie,2021-09-01,1996.0,"['Comedies', 'Romantic Movies']",95,
The Nutty Professor II: The Klumps,Netflix,Movie,2021-09-01,2000.0,"['Comedies', 'Romantic Movies']",107,
Turning Point: 9/11 and the War on Terror,Netflix,TV Show,2021-09-01,2021.0,['Docuseries'],,
Welcome Home Roscoe Jenkins,Netflix,Movie,2021-09-01,2008.0,['Comedies'],114,
In the Line of Fire,Netflix,Movie,2021-08-31,1993.0,"['Action & Adventure', 'Classic Movies']",129,
Sparking Joy,Netflix,TV Show,2021-08-31,2021.0,['Reality TV'],,
Untold: Crime & Penalties,Netflix,Movie,2021-08-31,2021.0,"['Documentaries', 'Sports Movies']",86,
Hometown Cha-Cha-Cha,Netflix,TV Show,2021-08-29,2021.0,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",,
The Ingenuity of the Househusband,Netflix,TV Show,2021-08-29,2021.0,"['International TV Shows', 'TV Comedies']",,
2 Alone in Paris,Netflix,Movie,2021-08-28,2008.0,"['Comedies', 'International Movies']",97,
Bread Barbershop,both,TV Show,2021-08-28,2020.0,"[""Kids' TV"", 'TV Comedies']",,2
Thimmarusu,Netflix,Movie,2021-08-28,2021.0,"['Dramas', 'International Movies']",125,
Wind River,Netflix,Movie,2021-08-28,2017.0,"['Dramas', 'Independent Movies']",107,
C Kkompany,Netflix,Movie,2021-08-27,2008.0,"['Action & Adventure', 'Comedies', 'International Movies']",127,
D.P.,Netflix,TV Show,2021-08-27,2021.0,"['International TV Shows', 'TV Dramas']",,
Deadly Sins,Netflix,TV Show,2021-08-27,2002.0,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Dramas']",,
EMI: Liya Hai To Chukana Padega,Netflix,Movie,2021-08-27,2008.0,"['Comedies', 'Dramas', 'International Movies']",128,
He's All That,Netflix,Movie,2021-08-27,2021.0,"['Comedies', 'Romantic Movies']",92,
